取引時期,取引価格（総額）,最寄駅：距離（分）,面積（㎡）,建築年,建物の構造,地区名,建ぺい率（％）,容積率（％）,建築年数
2014,65000000,2,45,1985,鉄骨造、軽量鉄骨造,神田神保町,80.0,500.0,39
2020,93000000,4,55,1960,ＲＣ,入船,80.0,500.0,64
2019,90000000,1,60,1967,軽量鉄骨造,日本橋茅場町,80.0,700.0,57
2018,45000000,3,40,1971,鉄骨造,日本橋室町,80.0,600.0,53
2021,77000000,2,70,1983,鉄骨造,日本橋室町,80.0,600.0,41
2021,72000000,3,35,1988,鉄骨造,八丁堀,80.0,600.0,36
2019,36000000,3,30,1963,木造,東日本橋,80.0,500.0,61
2022,36000000,5,40,1947,木造,八重洲,80.0,800.0,77
2010,76000000,4,85,1999,鉄骨造,日本橋箱崎町,80.0,500.0,25
2011,98000000,4,105,1985,ＲＣ,明石町,60.0,400.0,39
2010,77000000,5,65,1960,木造,八丁堀,80.0,600.0,64
2014,89000000,1,65,1955,木造,日本橋人形町,80.0,700.0,69
2011,48000000,2,35,1987,鉄骨造,日本橋浜町,80.0,500.0,37
2016,95000000,2,105,1974,ＲＣ,佃,80.0,400.0,50
2015,30000000,1,35,1981,木造,月島,80.0,500.0,43
2016,82000000,4,60,1980,ＲＣ,日本橋富沢町,80.0,600.0,44
2016,75000000,1,80,1970,ＲＣ,日本橋馬喰町,80.0,700.0,54
2013,26000000,4,45,1965,ＲＣ,新川,80.0,700.0,59
2013,95000000,5,75,1980,ＲＣ,新川,80.0,500.0,44
2009,100000000,5,85,2001,鉄骨造,月島,80.0,400.0,23
2009,80000000,4,115,1977,ＲＣ,日本橋人形町,80.0,500.0,47
2006,98000000,4,20,1975,鉄骨造,銀座,80.0,800.0,49
2006,46000000,7,55,1967,鉄骨造,新川,80.0,500.0,57
2005,89000000,8,105,1982,ＲＣ,新川,80.0,500.0,42
2006,39000000,1,30,1979,鉄骨造,新富,80.0,600.0,45
2006,39000000,6,45,1984,ＲＣ,築地,80.0,500.0,40
2006,43000000,2,75,1966,木造,月島,60.0,400.0,58
2005,15000000,3,35,1960,木造,月島,80.0,400.0,64
2007,100000000,2,55,1962,ＲＣ,日本橋茅場町,80.0,600.0,62
2008,42000000,3,45,1968,鉄骨造,日本橋浜町,80.0,700.0,56
2022,35000000,4,80,1956,木造,芝,80.0,400.0,68
2023,76000000,10,50,2003,木造,白金,60.0,300.0,21
2018,70000000,5,75,1991,ＲＣ,白金台,60.0,200.0,33
2022,55000000,4,50,2011,木造,高輪,80.0,500.0,13
2021,90000000,5,45,1998,木造,西麻布,60.0,300.0,26
2017,90000000,9,55,2012,ＲＣ,白金,60.0,300.0,12
2017,88000000,10,45,2005,ＲＣ,西麻布,60.0,400.0,19
2011,60000000,6,125,1976,木造,三田,60.0,300.0,48
2016,45000000,4,45,1989,鉄骨造,芝,80.0,500.0,35
2015,78000000,8,80,1967,鉄骨造,芝,80.0,700.0,57
2016,67000000,6,40,2001,ＳＲＣ,白金,60.0,400.0,23
2016,40000000,10,45,1973,木造,白金,60.0,300.0,51
2015,90000000,11,100,1968,木造,白金,60.0,300.0,56
2015,37000000,6,65,1998,木造,白金台,60.0,200.0,26
2015,55000000,7,60,1981,ＲＣ,高輪,60.0,300.0,43
2016,96000000,2,35,1984,鉄骨造,西新橋,80.0,700.0,40
2016,40000000,8,35,1988,木造,西新橋,80.0,700.0,36
2016,81000000,4,55,1980,ＲＣ,三田,80.0,400.0,44
2015,98000000,5,95,1998,木造,南麻布,60.0,300.0,26
2012,62000000,5,70,1986,ＲＣ,麻布十番,80.0,400.0,38
2013,85000000,2,85,1995,ＲＣ,芝,80.0,400.0,29
2009,44000000,6,45,2002,鉄骨造,芝,80.0,500.0,22
2009,91000000,6,120,1976,ＲＣ,芝,80.0,400.0,48
2005,45000000,6,30,1990,鉄骨造,芝,80.0,600.0,34
2008,56000000,2,55,1987,鉄骨造,芝,80.0,400.0,37
2006,50000000,6,35,1963,ＲＣ,新橋,80.0,600.0,61
2006,88000000,3,55,1984,鉄骨造,虎ノ門,80.0,700.0,40
2006,100000000,10,105,1968,木造,三田,60.0,400.0,56
2007,24000000,2,40,1962,木造,南青山,60.0,300.0,62
2018,71000000,4,175,1962,ＲＣ,赤城下町,60.0,300.0,62
2020,63000000,5,50,2020,木造,市谷薬王寺町,60.0,300.0,4
2020,98000000,3,70,1984,ＲＣ、軽量鉄骨造,市谷柳町,60.0,300.0,40
2018,58000000,3,50,2009,木造,市谷柳町,80.0,500.0,15
2021,80000000,7,115,1978,鉄骨造,大久保,60.0,300.0,46
2019,51000000,6,55,2002,木造,大久保,60.0,300.0,22
2021,84000000,6,75,2022,木造,大久保,60.0,300.0,2
2021,70000000,5,100,1976,木造,大久保,60.0,300.0,48
2023,100000000,6,125,1964,木造,大久保,60.0,300.0,60
2021,70000000,8,155,1969,木造,大久保,60.0,300.0,55
2018,26000000,3,50,1977,木造,上落合,60.0,300.0,47
2021,45000000,2,60,2019,木造,上落合,60.0,300.0,5
2020,56000000,6,65,2007,木造,上落合,60.0,150.0,17
2020,46000000,3,100,1978,木造,上落合,60.0,300.0,46
2018,54000000,6,60,1956,木造,上落合,60.0,300.0,68
2021,79000000,9,60,2021,木造,北新宿,60.0,300.0,3
2021,63000000,8,45,2021,木造,北新宿,60.0,300.0,3
2020,39000000,9,40,1984,木造,北新宿,60.0,300.0,40
