YearQuarter,Index
2008/Q2,101.07
2008/Q3,99.43
2008/Q4,97.33
2009/Q1,94.43
2009/Q2,94.43
2009/Q3,95.2
2009/Q4,96.73
2010/Q1,98.27
2010/Q2,99.23
2010/Q3,99.6
2010/Q4,100.97
2011/Q1,100.97
2011/Q2,102.57
2011/Q3,102.55
2011/Q4,102.5
2012/Q1,102.6
2012/Q2,102.5
2012/Q3,102.77
2012/Q4,102.8
2013/Q1,102.37
2013/Q2,102.57
2013/Q3,106.0
2013/Q4,107.97
2014/Q1,110.7
2014/Q2,111.7
2014/Q3,111.37
2014/Q4,113.83
2015/Q1,115.67
2015/Q2,118.13
2015/Q3,120.13
2015/Q4,121.73
2016/Q1,124.13
2016/Q2,126.07
2016/Q3,128.5
2016/Q4,130.03
2017/Q1,130.77
2017/Q2,133.4
2017/Q3,135.0
2017/Q4,136.87
2018/Q1,137.13
2018/Q2,139.07
2018/Q3,141.03
2018/Q4,141.6
2019/Q1,144.4
2019/Q2,146.47
2019/Q3,146.53
2019/Q4,147.43
2020/Q1,150.03
2020/Q2,151.23
2020/Q3,152.9
2020/Q4,152.87
2021/Q1,156.53
2021/Q2,158.47
2021/Q3,163.47
2021/Q4,168.23
2022/Q1,170.53
2022/Q2,176.8
2022/Q3,180.7
2022/Q4,184.03
2023/Q1,186.73
2023/Q2,188.33
2023/Q3,190.23
2023/Q4,192.3
