最寄駅：距離（分）,取引価格（総額）,面積（㎡）,建物の構造,地区名,建ぺい率（％）,容積率（％）,取引時期,建築年数
3,100000000,45,木造,岩本町,80.0,600.0,2021年第1四半期,3
4,85000000,115,木造,神田佐久間町,80.0,500.0,2020年第1四半期,62
4,75000000,50,鉄骨造,神田神保町,80.0,500.0,2019年第1四半期,55
3,97000000,35,ＲＣ,神田三崎町,80.0,500.0,2022年第3四半期,65
3,76000000,65,木造,外神田,80.0,600.0,2018年第3四半期,70
3,95000000,60,ＲＣ,神田神保町,80.0,600.0,2014年第2四半期,50
2,24000000,80,ＲＣ,一番町,80.0,500.0,2016年第3四半期,54
5,40000000,55,ＲＣ,岩本町,80.0,600.0,2015年第4四半期,39
2,42000000,35,木造,外神田,80.0,600.0,2016年第3四半期,67
2,41000000,45,鉄骨造,外神田,80.0,600.0,2015年第4四半期,44
6,91000000,40,ＲＣ,新川,80.0,500.0,2023年第2四半期,17
2,42000000,35,木造,築地,80.0,600.0,2021年第2四半期,56
4,95000000,35,鉄骨造,月島,80.0,500.0,2022年第2四半期,39
4,84000000,75,木造,月島,80.0,600.0,2021年第4四半期,62
4,95000000,35,鉄骨造,月島,80.0,500.0,2021年第2四半期,39
4,30000000,45,木造,月島,80.0,400.0,2019年第3四半期,73
2,70000000,40,鉄骨造,月島,80.0,400.0,2018年第1四半期,33
3,32000000,35,木造,佃,80.0,400.0,2022年第2四半期,62
3,35000000,40,木造,佃,80.0,400.0,2018年第3四半期,65
1,90000000,60,軽量鉄骨造,日本橋茅場町,80.0,700.0,2019年第1四半期,57
2,36000000,35,木造,日本橋人形町,80.0,500.0,2019年第4四半期,66
2,80000000,55,ＲＣ,日本橋馬喰町,80.0,700.0,2021年第2四半期,50
2,69000000,35,鉄骨造,日本橋浜町,80.0,500.0,2020年第4四半期,19
2,65000000,35,ＲＣ,日本橋横山町,80.0,600.0,2019年第4四半期,65
1,36000000,50,木造,八丁堀,80.0,500.0,2022年第3四半期,77
3,36000000,30,木造,東日本橋,80.0,500.0,2019年第1四半期,61
6,82000000,50,ブロック造,湊,80.0,500.0,2018年第1四半期,56
3,36000000,45,木造,日本橋浜町,80.0,500.0,2017年第2四半期,66
4,43000000,35,鉄骨造,月島,80.0,600.0,2014年第3四半期,17
4,100000000,90,鉄骨造,入船,80.0,500.0,2016年第1四半期,59
1,90000000,60,木造,日本橋浜町,80.0,500.0,2014年第2四半期,51
3,62000000,55,鉄骨造,勝どき,80.0,600.0,2016年第4四半期,33
4,52000000,40,木造,月島,80.0,400.0,2016年第2四半期,24
5,55000000,45,木造,新川,80.0,600.0,2015年第3四半期,9
1,43000000,45,鉄骨造,月島,80.0,500.0,2015年第3四半期,44
4,100000000,105,ＲＣ,日本橋富沢町,80.0,600.0,2015年第3四半期,56
2,40000000,40,ＲＣ,日本橋馬喰町,80.0,500.0,2015年第2四半期,50
3,60000000,35,鉄骨造,芝,80.0,600.0,2018年第3四半期,40
6,98000000,60,鉄骨造,芝,80.0,500.0,2022年第3四半期,27
8,36000000,35,木造,芝,80.0,500.0,2018年第4四半期,60
6,100000000,45,木造,白金,60.0,400.0,2019年第4四半期,13
9,44000000,40,木造,白金,60.0,300.0,2021年第3四半期,58
12,76000000,65,木造,白金,60.0,300.0,2021年第3四半期,28
11,39000000,40,木造,白金,80.0,400.0,2022年第2四半期,27
9,50000000,75,木造,白金,60.0,300.0,2020年第4四半期,54
10,68000000,100,木造,白金,60.0,400.0,2019年第2四半期,56
3,47000000,55,木造,白金台,60.0,300.0,2020年第3四半期,43
4,76000000,45,木造,白金台,60.0,300.0,2018年第1四半期,19
5,70000000,75,ＲＣ,白金台,60.0,200.0,2018年第3四半期,33
3,33000000,45,木造,高輪,60.0,300.0,2019年第2四半期,20
3,32000000,55,木造,高輪,80.0,500.0,2018年第4四半期,57
6,84000000,45,木造,高輪,60.0,300.0,2021年第3四半期,25
8,60000000,85,ＲＣ,西麻布,60.0,300.0,2022年第1四半期,37
12,100000000,50,木造,西麻布,60.0,300.0,2021年第1四半期,3
12,100000000,50,木造,西麻布,60.0,300.0,2021年第1四半期,3
4,90000000,70,木造,浜松町,80.0,600.0,2022年第3四半期,60
2,75000000,50,軽量鉄骨造,東麻布,80.0,400.0,2020年第3四半期,47
2,62000000,35,木造,三田,60.0,400.0,2022年第1四半期,53
2,58000000,50,木造,三田,60.0,400.0,2019年第2四半期,52
4,61000000,40,ＲＣ,三田,80.0,500.0,2019年第2四半期,55
7,90000000,65,ＲＣ,三田,80.0,300.0,2019年第4四半期,50
8,93000000,55,木造,三田,60.0,300.0,2020年第4四半期,24
6,72000000,45,木造,三田,60.0,300.0,2022年第2四半期,26
7,80000000,65,木造,南青山,60.0,200.0,2022年第3四半期,27
10,93000000,50,木造,南麻布,80.0,300.0,2018年第1四半期,48
4,100000000,60,木造,元麻布,60.0,300.0,2019年第2四半期,25
8,43000000,30,木造,白金,80.0,400.0,2017年第1四半期,52
9,81000000,65,鉄骨造,白金台,60.0,300.0,2017年第3四半期,29
6,69000000,40,鉄骨造,新橋,80.0,600.0,2017年第3四半期,48
9,50000000,185,木造,高輪,60.0,300.0,2017年第4四半期,59
4,27000000,30,ＲＣ,高輪,60.0,300.0,2017年第3四半期,31
6,60000000,70,木造,西麻布,60.0,300.0,2017年第2四半期,22
12,46000000,40,鉄骨造,芝,80.0,500.0,2014年第2四半期,37
12,69000000,75,木造,白金,60.0,300.0,2014年第2四半期,13
7,52000000,55,ＲＣ,高輪,60.0,300.0,2014年第1四半期,30
12,65000000,45,鉄骨造,西麻布,60.0,300.0,2014年第2四半期,10
7,100000000,80,鉄骨造,西麻布,60.0,200.0,2014年第1四半期,26
5,68000000,40,木造,赤坂,60.0,300.0,2016年第3四半期,22
8,85000000,65,木造,三田,60.0,300.0,2014年第1四半期,10
12,39000000,45,木造,南麻布,60.0,300.0,2014年第4四半期,57
1,83000000,65,鉄骨造,六本木,60.0,300.0,2014年第3四半期,25
4,100000000,45,木造,芝公園,80.0,600.0,2016年第3四半期,63
8,93000000,135,木造,白金,60.0,300.0,2016年第2四半期,38
10,40000000,45,木造,白金,60.0,300.0,2016年第3四半期,51
8,6500000,50,木造,芝浦,80.0,400.0,2015年第4四半期,51
4,77000000,55,ＲＣ,白金台,60.0,300.0,2016年第1四半期,27
6,100000000,95,鉄骨造,白金台,60.0,300.0,2016年第1四半期,46
6,77000000,50,鉄骨造,新橋,80.0,800.0,2016年第2四半期,24
11,90000000,100,木造,白金,60.0,300.0,2015年第3四半期,56
8,38000000,60,ＲＣ,白金,60.0,300.0,2015年第1四半期,47
5,75000000,140,木造,白金台,60.0,300.0,2015年第1四半期,54
4,79000000,95,木造,白金台,60.0,200.0,2015年第2四半期,48
6,37000000,65,木造,白金台,60.0,200.0,2015年第1四半期,26
7,55000000,60,ＲＣ,高輪,60.0,300.0,2015年第3四半期,43
11,76000000,45,ＲＣ,西麻布,60.0,400.0,2015年第2四半期,19
4,81000000,55,ＲＣ,三田,80.0,400.0,2016年第2四半期,44
5,100000000,60,鉄骨造,東麻布,60.0,300.0,2015年第1四半期,26
4,24000000,30,木造,三田,60.0,300.0,2015年第1四半期,63
5,98000000,95,木造,南麻布,60.0,300.0,2015年第3四半期,26
4,90000000,70,木造,南麻布,60.0,300.0,2015年第2四半期,73
2,85000000,50,木造,愛住町,60.0,300.0,2021年第3四半期,11
2,83000000,95,ＲＣ,愛住町,60.0,400.0,2020年第3四半期,51
2,57000000,120,ＲＣ,愛住町,60.0,400.0,2018年第3四半期,38
4,97000000,70,木造,赤城下町,60.0,300.0,2022年第1四半期,64
4,70000000,55,木造,赤城下町,60.0,300.0,2021年第2四半期,3
4,88000000,110,木造,赤城下町,60.0,300.0,2021年第2四半期,34
4,71000000,175,ＲＣ,赤城下町,60.0,300.0,2018年第4四半期,62
5,70000000,65,木造,市谷加賀町,60.0,300.0,2021年第4四半期,3
5,54000000,45,木造,市谷台町,60.0,300.0,2021年第3四半期,3
5,64000000,40,木造,市谷台町,60.0,300.0,2021年第1四半期,3
6,93000000,120,鉄骨造,市谷台町,60.0,300.0,2019年第2四半期,34
8,56000000,70,軽量鉄骨造,市谷田町,60.0,300.0,2018年第1四半期,35
5,90000000,70,木造,市谷仲之町,60.0,300.0,2020年第3四半期,4
4,78000000,185,木造,市谷八幡町,60.0,300.0,2020年第4四半期,49
2,89000000,60,木造,市谷薬王寺町,60.0,300.0,2023年第2四半期,1
2,97000000,70,木造,市谷薬王寺町,60.0,300.0,2023年第2四半期,1
6,60000000,65,木造,市谷薬王寺町,60.0,300.0,2022年第4四半期,18
3,90000000,155,木造,市谷柳町,60.0,300.0,2020年第3四半期,48
3,98000000,70,ＲＣ、軽量鉄骨造,市谷柳町,60.0,300.0,2020年第3四半期,40
7,50000000,65,木造,榎町,60.0,300.0,2023年第3四半期,37
7,35000000,80,木造,榎町,60.0,300.0,2022年第3四半期,50
7,85000000,75,ＲＣ、木造,大久保,60.0,300.0,2018年第2四半期,48
5,70000000,70,木造,大久保,60.0,300.0,2023年第2四半期,27
8,74000000,55,木造,大久保,60.0,300.0,2022年第1四半期,12
7,80000000,115,鉄骨造,大久保,60.0,300.0,2021年第4四半期,46
12,83000000,70,木造,大久保,60.0,300.0,2021年第4四半期,2
7,51000000,55,ＲＣ、木造,大久保,60.0,300.0,2021年第3四半期,47
4,95000000,90,軽量鉄骨造,大久保,60.0,300.0,2020年第3四半期,16
6,60000000,60,木造,大久保,60.0,300.0,2019年第3四半期,27
6,39000000,60,木造,大久保,60.0,300.0,2019年第2四半期,27
9,65000000,65,木造,大久保,60.0,300.0,2018年第4四半期,28
6,84000000,75,木造,大久保,60.0,300.0,2021年第4四半期,2
5,70000000,100,木造,大久保,60.0,300.0,2021年第4四半期,48
5,58000000,50,木造,大久保,60.0,300.0,2019年第3四半期,14
1,69000000,45,木造,大久保,60.0,300.0,2021年第3四半期,16
3,69000000,100,木造,上落合,60.0,300.0,2022年第4四半期,37
3,77000000,60,木造,上落合,60.0,300.0,2022年第4四半期,1
2,66000000,160,木造,上落合,80.0,400.0,2022年第2四半期,58
4,28000000,35,木造,上落合,60.0,200.0,2021年第1四半期,52
5,67000000,80,木造,上落合,60.0,300.0,2020年第4四半期,16
4,14000000,40,木造,上落合,60.0,300.0,2020年第2四半期,42
7,68000000,70,木造,上落合,60.0,300.0,2019年第4四半期,4
3,26000000,50,木造,上落合,60.0,300.0,2018年第2四半期,47
5,65000000,60,木造,上落合,60.0,300.0,2018年第2四半期,6
4,67000000,45,木造,上落合,60.0,300.0,2021年第4四半期,3
4,33000000,60,木造,上落合,60.0,300.0,2018年第4四半期,56
3,29000000,45,木造,上落合,60.0,300.0,2018年第3四半期,57
4,27000000,50,木造,上落合,60.0,300.0,2023年第４四半期,45
6,50000000,55,ＲＣ、木造,上落合,60.0,300.0,2022年第4四半期,45
1,49000000,60,木造,上落合,60.0,300.0,2021年第2四半期,47
2,45000000,60,木造,上落合,60.0,300.0,2021年第2四半期,5
6,56000000,65,木造,上落合,60.0,150.0,2020年第3四半期,17
6,59000000,60,木造,上落合,60.0,300.0,2020年第1四半期,4
4,50000000,85,木造,上落合,60.0,300.0,2018年第3四半期,53
7,57000000,55,木造,上落合,60.0,300.0,2018年第3四半期,5
2,45000000,65,木造,上落合,60.0,300.0,2018年第2四半期,36
6,54000000,60,木造,上落合,60.0,300.0,2018年第2四半期,68
4,60000000,75,ＲＣ、木造,喜久井町,60.0,300.0,2022年第3四半期,15
5,93000000,65,木造,喜久井町,60.0,300.0,2019年第3四半期,5
8,71000000,45,木造,北新宿,60.0,300.0,2023年第1四半期,1
7,74000000,70,木造,北新宿,60.0,300.0,2022年第4四半期,46
6,53000000,65,木造,北新宿,60.0,300.0,2022年第1四半期,66
7,75000000,150,木造,北新宿,60.0,300.0,2021年第4四半期,21
13,59000000,45,木造,北新宿,60.0,300.0,2021年第3四半期,3
9,79000000,60,木造,北新宿,60.0,300.0,2021年第3四半期,3
10,72000000,40,鉄骨造,北新宿,60.0,400.0,2021年第1四半期,5
11,59000000,55,木造,北新宿,60.0,300.0,2020年第4四半期,3
9,39000000,40,木造,北新宿,60.0,300.0,2020年第2四半期,40
11,70000000,55,木造,北新宿,60.0,300.0,2020年第1四半期,5
13,23000000,110,木造,北新宿,60.0,300.0,2019年第3四半期,64
7,24000000,45,木造,北新宿,60.0,300.0,2018年第2四半期,38
10,79000000,45,木造,北新宿,60.0,300.0,2023年第3四半期,1
9,60000000,50,木造,北新宿,60.0,300.0,2020年第2四半期,9
11,78000000,105,木造,北新宿,60.0,300.0,2018年第4四半期,42
5,60000000,35,木造,北新宿,60.0,400.0,2023年第3四半期,1
7,81000000,60,木造,北新宿,60.0,300.0,2023年第2四半期,1
7,83000000,80,木造,北新宿,60.0,300.0,2022年第3四半期,2
8,65000000,75,木造,北新宿,60.0,300.0,2021年第4四半期,16
7,73000000,80,木造,北新宿,60.0,300.0,2021年第4四半期,2
10,62000000,50,木造,北新宿,60.0,300.0,2021年第1四半期,9
11,50000000,45,木造,北新宿,60.0,300.0,2021年第1四半期,3
10,57000000,50,木造,北新宿,60.0,300.0,2021年第1四半期,3
12,61000000,50,木造,北新宿,60.0,300.0,2019年第1四半期,5
5,47000000,30,鉄骨造,北新宿,60.0,400.0,2018年第2四半期,50
3,75000000,100,木造,下落合,60.0,150.0,2018年第4四半期,57
6,56000000,50,ＲＣ、木造,下落合,60.0,150.0,2018年第3四半期,23
7,83000000,110,木造,下落合,60.0,150.0,2018年第3四半期,6
6,41000000,60,木造,下落合,60.0,150.0,2018年第1四半期,29
10,88000000,90,木造,下落合,60.0,150.0,2023年第1四半期,1
9,45000000,50,木造,下落合,60.0,150.0,2018年第2四半期,23
11,91000000,65,木造,下落合,60.0,150.0,2022年第4四半期,3
10,71000000,100,木造,下落合,60.0,150.0,2019年第4四半期,20
8,38000000,115,木造,下落合,60.0,150.0,2019年第2四半期,56
11,53000000,60,木造,下落合,60.0,150.0,2018年第4四半期,21
8,90000000,125,木造,下落合,60.0,150.0,2018年第2四半期,41
10,93000000,50,木造,新小川町,60.0,300.0,2019年第4四半期,25
